id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
39,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
44,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
45,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
46,42 Draconis b,296,3.88 Jupiters,4.8262,2008
47,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
48,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
49,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
50,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
51,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
52,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
53,14 Herculis b,58,4.66 Jupiters,6.61935,2002
54,16 Cygni B b,69,1.78 Jupiters,6.215,1996
55,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
56,18 Delphini b,249,10.3 Jupiters,5.51048,2008
57,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
58,24 Bootis b,313,0.91 Jupiters,5.59,2018
59,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
60,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
61,2M0437 b,419,4 Jupiters,16.186,2021
62,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
63,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
64,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
65,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
66,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
67,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
68,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
69,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
70,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
71,42 Draconis b,296,3.88 Jupiters,4.8262,2008
72,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
73,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
74,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
75,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
76,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
77,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
78,14 Herculis b,58,4.66 Jupiters,6.61935,2002
79,16 Cygni B b,69,1.78 Jupiters,6.215,1996
80,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
81,18 Delphini b,249,10.3 Jupiters,5.51048,2008
82,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
83,24 Bootis b,313,0.91 Jupiters,5.59,2018
84,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
85,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
86,2M0437 b,419,4 Jupiters,16.186,2021
87,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
88,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
89,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
90,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
91,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
92,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
93,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
94,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
95,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
96,42 Draconis b,296,3.88 Jupiters,4.8262,2008
97,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
98,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
99,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
100,BD+63 1405 b,124,3.96 Jupiters,8.96,2021
101,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
102,Beta Pictoris b,64,11 Jupiters,3.85,2008
103,Beta Pictoris c,64,9 Jupiters,3.85,2019
104,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
105,CD Ceti b,28,3.95 Earths,13.95,2020
106,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
107,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
108,CHXR 73 b,621,12.569 Jupiters,17.2934,2006
109,CI Tauri b,515,11.6 Jupiters,13.642,2019
110,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
111,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
112,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
113,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
114,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
115,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
116,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
117,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
118,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
119,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
120,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
121,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
122,CoRoT-20 c,2753,17 Jupiters,14.63,2018
123,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
124,CoRoT-22 b,2046,12.2 Earths,13.82,2014
125,BD+63 1405 b,124,3.96 Jupiters,8.96,2021
126,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
127,Beta Pictoris b,64,11 Jupiters,3.85,2008
128,Beta Pictoris c,64,9 Jupiters,3.85,2019
129,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
130,CD Ceti b,28,3.95 Earths,13.95,2020
131,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
132,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
133,CHXR 73 b,621,12.569 Jupiters,17.2934,2006
134,CI Tauri b,515,11.6 Jupiters,13.642,2019
135,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
136,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
137,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
138,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
139,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
140,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
141,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
142,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
143,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
144,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
145,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
146,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
147,CoRoT-20 c,2753,17 Jupiters,14.63,2018
148,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
149,CoRoT-22 b,2046,12.2 Earths,13.82,2014
150,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.5577,2013
151,DH Tauri b,440,11 Jupiters,13.98,2004
152,DMPP-1 b,204,24.27 Earths,7.98,2019
153,DMPP-1 c,204,9.6 Earths,7.98,2019
154,DMPP-1 d,204,3.35 Earths,7.98,2019
155,DMPP-1 e,204,4.13 Earths,7.98,2019
156,DMPP-2 b,450,0.437 Jupiters,8.57,2019
157,DMPP-3 A b,148,2.58 Earths,9.066,2019
158,DP Leonis b,997,6.28 Jupiters,18.6837,2009
159,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
160,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
161,EPIC 201238110 b,520,4.16 Earths,16.014,2019
162,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
163,EPIC 201497682 b,825,0.26 Earths,13.948,2019
164,EPIC 201595106 b,757,2.24 Earths,11.746,2021
165,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
166,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
167,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
168,EPIC 201833600 c,840,0.972 Earths,14.705,2019
169,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
170,EPIC 205950854 c,796,2.27 Earths,12.365,2019
171,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
172,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
173,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
174,EPIC 206032309 b,526,1.01 Earths,17.89,2019
175,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.5577,2013
176,DH Tauri b,440,11 Jupiters,13.98,2004
177,DMPP-1 b,204,24.27 Earths,7.98,2019
178,DMPP-1 c,204,9.6 Earths,7.98,2019
179,DMPP-1 d,204,3.35 Earths,7.98,2019
180,DMPP-1 e,204,4.13 Earths,7.98,2019
181,DMPP-2 b,450,0.437 Jupiters,8.57,2019
182,DMPP-3 A b,148,2.58 Earths,9.066,2019
183,DP Leonis b,997,6.28 Jupiters,18.6837,2009
184,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
185,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
186,EPIC 201238110 b,520,4.16 Earths,16.014,2019
187,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
188,EPIC 201497682 b,825,0.26 Earths,13.948,2019
189,EPIC 201595106 b,757,2.24 Earths,11.746,2021
190,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
191,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
192,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
193,EPIC 201833600 c,840,0.972 Earths,14.705,2019
194,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
195,EPIC 205950854 c,796,2.27 Earths,12.365,2019
196,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
197,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
198,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
199,EPIC 206032309 b,526,1.01 Earths,17.89,2019
200,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
201,EPIC 206042996 c,1474,1.87 Earths,16.59,2021
202,EPIC 206215704 b,358,0.972 Earths,17.83,2019
203,EPIC 206317286 b,1025,0.84 Earths,14.005,2019
204,EPIC 206317286 c,1025,5.03 Earths,14.005,2022
205,EPIC 211822797 b,607,4.35 Earths,15.133,2016
206,EPIC 211945201 b,593,27 Earths,10.154,2018
207,EPIC 212297394 b,1365,2.79 Earths,14.611,2019
208,EPIC 212297394 c,1365,5.77 Earths,14.611,2016
209,EPIC 212424622 b,1996,5.35 Earths,13.441,2019
210,EPIC 212499991 b,924,3.19 Earths,13.672,2019
211,EPIC 212587672 b,1044,2.13 Earths,12.488,2019
212,EPIC 212587672 c,1044,5.99 Earths,12.488,2016
213,EPIC 212624936 b,1833,1.87 Earths,13.976,2021
214,EPIC 212624936 c,1833,5.9 Earths,13.976,2021
215,EPIC 212737443 b,1097,7.2 Earths,14.81,2019
216,EPIC 212737443 c,1097,7.7 Earths,14.81,2019
217,EPIC 220492298 b,2037,0.937 Earths,13.991,2021
218,EPIC 220554210 c,1619,3.19 Earths,14.21,2019
219,EPIC 220674823 b,798,7.72 Earths,12.101,2016
220,EPIC 220674823 c,798,5.8 Earths,12.101,2016
221,EPIC 228836835 b,490,1.37 Earths,16.77,2021
222,EPIC 246851721 b,1216,3 Jupiters,11.237,2018
223,EPIC 248847494 b,1800,13 Jupiters,12.353,2018
224,EPIC 249893012 b,1048,8.75 Earths,11.429,2020
225,EPIC 249893012 c,1048,14.67 Earths,11.429,2020
226,EPIC 249893012 d,1048,10.18 Earths,11.429,2020
227,Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
228,Epsilon Eridani b,10,0.66 Jupiters,3.71548,2000
229,Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
230,Epsilon Tauri b,155,7.6 Jupiters,3.523,2006
231,FU Tauri b,435,16 Jupiters,15.2412,2008
232,G 264-012 b,52,2.5 Earths,13.078,2021
233,G 264-012 c,52,3.75 Earths,13.078,2021
234,G 9-40 b,91,4.76 Earths,13.821,2019
235,Gaia-1 b,1186,1.68 Jupiters,13.242,2022
236,Gaia-2 b,683,0.817 Jupiters,11.277,2022
237,Gamma 1 Leonis b,130,8.78 Jupiters,1.99509,2009
238,Gamma Cephei b,46,9.4 Jupiters,3.23006,2003
239,Gamma Librae b,155,1.02 Jupiters,3.90672,2018
240,Gamma Librae c,155,4.58 Jupiters,3.90672,2018
241,Gamma Piscium b,135,1.34 Jupiters,3.69252,2021
242,GJ 1061 b,12,1.37 Earths,12.7,2020
243,GJ 1061 c,12,1.74 Earths,12.7,2020
244,GJ 1061 d,12,1.64 Earths,12.7,2020
245,GJ 1132 b,41,1.66 Earths,13.68,2015
246,GJ 1132 c,41,2.64 Earths,13.68,2018
247,GJ 1148 b,36,0.30425 Jupiters,11.939,2010
248,GJ 1148 c,36,0.21414 Jupiters,11.939,2017
249,GJ 1214 b,48,8.17 Earths,15.1,2009
